serial,Name,VAR,TRT,SHAPE,SHAPE,VOL3D,SA3D,L3D,W3D,SAVOL3D,LW3D,
137,216,BB,5A,C,TAPER,500.076,352.528,179.7,74.36,0.704948848,2.41662184,
138,217,BB,5A,C,TAPER,389.914,294.886,169.5,71.15,0.756284719,2.382290935,
139,224,BB,5B,C,TAPER,366.878,299.146,183.3,65,0.81538277,2.82,
140,225,BB,5B,C,TAPER,538.405,376.438,199,73.07,0.699172556,2.723415903,
141,226,BB,5B,C,TAPER,600.703,395.952,195.7,78.38,0.659147699,2.496810411,
142,230,BB,3B,C,TAPER,435.394,321.222,168.8,76.23,0.737773143,2.214351305,
143,231,BB,3B,C,TAPER,627.557,399.815,184.1,87.07,0.637097507,2.11439072,
144,232,BB,3B,C,TAPER,380.683,321.417,210.3,66.37,0.844316662,3.168600271,
145,237,BB,3A,C,TAPER,419.224,318.531,192.7,73.55,0.759810984,2.619986404,
146,240,BB,3A,C,TAPER,465.633,339.566,188.5,73.8,0.729256732,2.554200542,
147,250,BB,1B,C,TAPER,442.074,352.978,221.9,66.24,0.798459082,3.349939614,
148,252,BB,1B,C,TAPER,627.722,397.918,185.2,84.18,0.633908004,2.200047517,
149,253,BB,1B,C,TAPER,284.771,244.917,149.3,64.55,0.860048952,2.312935709,
150,260,BB,3B,C,TAPER,639.257,446.835,232.9,73.19,0.698991173,3.182128706,
151,262,BB,3B,C,TAPER,502.469,362.028,190.7,75.1,0.72049818,2.539280959,
152,263,BB,3B,C,TAPER,429.853,311.559,167.1,74.22,0.724803596,2.251414713,
153,264,BB,8A,C,TAPER,517.141,350.338,165.9,77.15,0.677451604,2.150356448,
154,267,BB,8A,C,TAPER,449.987,318.091,169.1,81.22,0.70688931,2.081999508,
155,269,BB,8A,C,TAPER,433.007,322.557,192.1,77.87,0.744923292,2.466932066,
156,278,BB,1A,C,TAPER,478.722,352.811,193.7,76.44,0.73698514,2.534013605,
157,279,BB,1A,C,TAPER,566.136,387.082,204.8,77.64,0.683726172,2.637815559,
158,281,BB,1A,C,FRY,528.905,342.038,157,86,0.646690805,1.825581395,
159,282,BB,1A,C,TAPER,427.294,332.772,188.3,67.79,0.778789311,2.777695825,
160,283,BB,1A,C,TAPER,447.064,311.889,168.7,75.43,0.697638369,2.236510672,
161,284,BB,1A,C,TAPER,541.619,370.678,200.5,76.44,0.684388842,2.622972266,
162,285,BB,1A,C,FRY,456.341,307.112,142.7,85.52,0.672987963,1.668615529,
163,286,BB,1A,C,FRY,432.877,290.841,136.9,84.92,0.671879079,1.612105511,
164,287,BB,1A,C,TAPER,420.198,309.367,196.6,80.05,0.73624101,2.455965022,
165,288,BB,1A,C,TAPER,494.096,337.812,179.4,86.95,0.683697095,2.063254744,
166,289,BB,1A,C,TAPER,397.304,291.779,166.9,75,0.734397338,2.225333333,
167,290,BB,1A,C,TAPER,425.801,311.392,180.7,75.5,0.731308757,2.393377483,
168,291,BB,1A,C,TAPER,460.338,336.234,185.7,75.91,0.730406788,2.446318008,
169,292,BB,1A,C,TAPER,344.764,264.153,145,64.29,0.766184985,2.255405195,
170,293,BB,1A,C,TAPER,671.297,430.334,218.3,91.9,0.641048597,2.375408052,
171,294,BB,1A,C,TAPER,391.625,300.614,176,72.54,0.767606767,2.426247588,
172,295,BB,1A,C,TAPER,487.873,370.136,228.5,76.97,0.758672851,2.9686891,
173,296,BB,1A,C,TAPER,355.211,272.524,153.5,71.93,0.767217231,2.134019185,
174,3002,ORL,5B,C,FRY,605.909,378.151,175.8,84.77,0.62410527,2.07384688,
175,3004,ORL,5B,C,TAPER,511.494,370.376,218.7,71.58,0.724106246,3.055322716,
176,3005,ORL,5B,C,TAPER,278.133,235.917,149.3,63.29,0.848216501,2.358982462,
177,3006,ORL,5B,C,TAPER,333.495,260.225,151,68.9,0.780296556,2.191582003,
178,3009,ORL,3A,C,TAPER,282.069,220.696,121.7,70.76,0.782418486,1.719898248,
179,3010,ORL,3A,C,TAPER,318.134,260.199,164.1,64.51,0.817891203,2.54379166,
180,3011,ORL,3A,C,TAPER,496.216,343.279,173.5,76.96,0.691793493,2.254417879,
181,3012,ORL,3A,C,TAPER,510.267,347.709,161.9,82.48,0.681425607,1.962900097,
182,3013,ORL,3A,C,FRY,444.647,300.061,142.6,85.3,0.674829696,1.671746776,
183,3015,ORL,3A,C,TAPER,375.686,288.542,162.6,69.72,0.768040332,2.332185886,
184,3016,ORL,3A,C,TAPER,616.208,387.495,171.2,87,0.62883799,1.967816092,
185,3018,ORL,5A,C,TAPER,479.094,334.519,183.2,72.72,0.698232497,2.519251925,
186,3019,ORL,5A,C,TAPER,298.656,246.505,147.3,65.91,0.82538104,2.234865726,
187,3020,ORL,5A,C,TAPER,548.706,366.616,190,79.48,0.668146512,2.3905385,
188,3022,ORL,5A,C,TAPER,292.008,253.278,177.4,64.1,0.867366647,2.767550702,
189,3061,BLV,5A,C,TAPER,433.995,304.137,154.3,75.88,0.700784571,2.033473906,
190,3063,BLV,5A,C,TAPER,355.528,272.259,163.8,72.33,0.765787786,2.264620489,
191,3064,BLV,5A,C,TAPER,594.325,393.349,195.9,85.27,0.661841585,2.297408233,
192,3065,BLV,5A,C,TAPER,448.932,321.646,169.3,77.35,0.716469309,2.188752424,
193,3067,BLV,5A,C,TAPER,370.575,275.344,145.9,80.84,0.743018282,1.804799604,
194,3068,BLV,5A,C,TAPER,325.209,255.662,146.7,68.85,0.786146755,2.130718954,
195,3069,BLV,5B,C,TAPER,394.032,303.342,185.3,65.49,0.769841028,2.829439609,
196,3086,BLV,1A,C,TAPER,311.388,244.305,138.6,75.08,0.784567806,1.8460309,
197,3087,BLV,1A,C,TAPER,385.399,283.254,156.6,75.21,0.734962986,2.082169924,
198,3088,BLV,1A,C,TAPER,481.232,325.943,170,80.65,0.677309489,2.107873528,
199,3090,BLV,1A,C,TAPER,394.301,279.919,136.8,76.68,0.709911971,1.784037559,
200,3091,BLV,1A,C,TAPER,479.189,329.483,180,71.44,0.687584648,2.519596865,
201,3094,BB,8A,C,TAPER,549.643,377.606,201.9,80.6,0.687002291,2.504962779,
202,3095,BB,8A,C,TAPER,516.678,363.762,208.4,76.69,0.70404004,2.717433824,
203,3100,BB,1B,C,TAPER,479.379,365.298,223.8,70.98,0.762023368,3.153000845,
204,3121,BB,8B,C,TAPER,385.478,308.342,185.2,64.43,0.799895195,2.874437374,
205,3123,BB,8B,C,TAPER,332.569,272.147,166.4,65.29,0.818317402,2.548629193,
206,3125,BB,8B,C,TAPER,488.214,362.568,216.8,72.93,0.742641547,2.972713561,
207,3127,BB,3A,C,TAPER,473.673,338.936,207.3,78.5,0.71554849,2.640764331,
208,3129,BB,3A,C,TAPER,486.295,375.248,219.6,71.63,0.77164684,3.065754572,
209,3130,BB,3A,C,TAPER,587.766,388.501,204,78.9,0.660979029,2.585551331,
210,3132,BB,3A,C,TAPER,299.085,251.636,166.1,65.91,0.841352793,2.520103171,
