	VOL	SA	L	W	SAVOL	LW
FRY	327.128	247.328	131.4	68.35	0.75605879	1.922457937
FRY	496.434	335.531	169.3	74.27	0.675882393	2.279520668
FRY	582.001	368.601	148.8	92	0.633333963	1.617391304
FRY	393.672	280.459	155.1	75.35	0.712417952	2.058394161
FRY	524.064	342.734	154.5	83.24	0.653992642	1.856078808
FRY	760.344	453.76	198.9	89.33	0.596782509	2.226575618
FRY	551.298	348.278	146.7	80.05	0.631741817	1.832604622
FRY	414.798	295.623	135	80.03	0.712691479	1.686867425
FRY	707.134	412.628	161.1	100.7	0.583521652	1.59980139
FRY	673.574	383.322	143.5	98	0.569086693	1.464285714
FRY	693.511	404.424	170.1	95.73	0.583154413	1.776872454
FRY	473.903	311.837	144.1	78.98	0.658018624	1.824512535
FRY	375.5899	261.107	124.3	80.8	0.69519175	1.538366337
FRY	486.856	312.405	134.7	85.63	0.641678443	1.573046829
FRY	385.083	269.165	125.8	74.4	0.698979181	1.690860215
FRESH	513.169	343.887	171.4	77.83	0.670124267	2.202235642
FRY	389.338	278.838	137.5	76.64	0.716184909	1.794102296
TAPER	402.931	302.314	156.1	64.09	0.75028727	2.435637385
FRY	827.089	463.993	185.1	96.56	0.56099525	1.916942833
FRY	726.949	421.207	176.8	91.6	0.579417538	1.930131004
FRY	509.545	336.33	153.1	82.09	0.660059465	1.865026191
FRY	286.912	235.627	142.5	64.81	0.821251812	2.198734763
FRY	489.544	313.221	128.4	87.94	0.639821957	1.460086423
FRY	591.462	365.441	160.2	89.54	0.617860488	1.789144516
FRY	476.287	318.892	148.9	81.22	0.669537485	1.833292293
FRY	505.994	331.446	158.9	84.66	0.655039388	1.876919442
FRY	287.889	231.419	135.3	65.78	0.803848011	2.056856187
TAPER	250.592	209.421	124.9	62.62	0.83570505	1.994570425
FRY	428.682	295.466	138	74.47	0.689242842	1.853095206
FRY	513.192	320.265	123.6	88.89	0.624064678	1.390482619
FRY	397.901	281.569	135.7	74.57	0.707635819	1.819766662
FRY	612.585	380.853	163.7	91.47	0.621714538	1.789657811
FRY	629.009	385.016	151.3	83.24	0.61209935	1.817635752
TAPER	437.755	302.46	156.3	80.3	0.690934427	1.946450809
TAPER	215.024	207.994	153.3	58.49	0.967305975	2.620960848
TAPER	327.048	275.615	189.7	64.26	0.842735623	2.952069717
TAPER	290.629	238.035	153.3	68.38	0.819033889	2.241883592
TAPER	281.415	239.739	162	61.57	0.851905549	2.631151535
TAPER	216.669	207.881	155.5	54.14	0.959440437	2.872183229
TAPER	406.573	296.938	172.2	69.71	0.730343628	2.470233826
TAPER	275.142	235.945	160.4	60.59	0.857539016	2.647301535
TAPER	335.863	255.984	139.7	63.67	0.762167908	2.194125962
TAPER	405.611	294.587	163.7	75.16	0.726279613	2.178020224
TAPER	411.738	302.596	168.9	70.5	0.734923665	2.395744681
TAPER	328.465	254.225	147.9	68.5	0.773978963	2.159124088
TAPER	330.842	258.854	147.3	69.45	0.78240973	2.120950324
TAPER	434.575	299.9924	153.1	79.76	0.690312144	1.919508526
TAPER	587.898	380.754	195.9	89.71	0.647653164	2.183703043
TAPER	400.521	288.8511	147.8	73.02	0.721188402	2.024102985
TAPER	555.413	357.684	174.2	86	0.643996449	2.025581395
FRY	470.956	308.594	144.2	83.42	0.655250172	1.728602254
TAPER	467.084	324.428	146.9	72	0.694581703	2.040277778
TAPER	576.646	387.369	197	79.77	0.671762225	2.4696001
TAPER	355.761	281.444	154.9	84.88	0.79110414	1.824929312
TAPER	301.712	245.343	150.9	65.52	0.813169513	2.303113553
TAPER	269.871	236.701	164.1	65.52	0.877089424	2.504578755
TAPER	368.497	272.09	150.4	75.9	0.738377789	1.981554677
TAPER	460.327	346.668	211.1	69.71	0.753090738	3.028259934
TAPER	310.748	246.372	146.6	69.4	0.792835352	2.112391931
TAPER	282.077	221.133	120.1	67.8	0.783945518	1.771386431
TAPER	350.356	282.995	195.7	65.94	0.80773556	2.96784956
TAPER	529.004	358.23	186.1	83	0.677178244	2.242168675
TAPER	460.302	328.753	176.6	80	0.714211539	2.2075
TAPER	327.822	268.373	167.1	65.3	0.818654636	2.558958652
TAPER	662.263	448.646	234	77.82	0.677443855	3.00693909
TAPER	347.081	258.339	141.8	71.07	0.744319049	1.995215984
TAPER	384.406	292.277	160.6	73.65	0.760334126	2.180583842
TAPER	440.305	319.802	185	76.83	0.726319256	2.407913575
TAPER	467.376	336.569	179.1	77.24	0.720124696	2.318746763
TAPER	435.431	313.682	173.8	75.94	0.720394276	2.288648933
TAPER	281.041	227.439	135	69.49	0.80927338	1.942725572
TAPER	469.049	344.205	194.2	67.74	0.733835911	2.866843815
TAPER	303.113	246.062	156.8	68.14	0.811783064	2.301144702
TAPER	556.791	378.423	203.6	78.37	0.679649994	2.597932882
TAPER	319.379	247.61	146.3	69.86	0.775285789	2.094188377
TAPER	325.933	244.337	126.6	71.86	0.74965407	1.761758976
TAPER	472.557	320.716	176.9	88.44	0.678682148	2.000226142
TAPER	297.641	235.864	141.7	72.23	0.792444589	1.96178873
TAPER	367.851	280.143	168.1	69.34	0.761566504	2.424286126
TAPER	257.372	231.422	152.7	61.87	0.899173181	2.468078229
TAPER	372.473	270.596	149.3	72.94	0.726484873	2.046887853
TAPER	490.458	335.844	179.5	80.98	0.684755881	2.216596691
TAPER	278.172	231.827	153.9	68.72	0.833394447	2.239522701
TAPER	286.849	239.903	148.9	62.9	0.83633898	2.367249603
TAPER	245.116	226.344	130.5	64.82	0.923415852	2.01326751
